municipio,razao_dependencia,pop_0_14,pop_15_64,pop_65mais
FAXINAL,49.54137,3856,10902,1545
ENTRE RIOS DO OESTE,40.699352,824,2774,305
JURANDA,43.434914,1675,5316,634
WENCESLAU BRAZ,49.538723,4616,12899,1774
NOVA ESPERANÇA DO SUDOESTE,48.165405,1233,3434,421
CATANDUVAS,50.316967,2643,6783,770
MARECHAL CÂNDIDO RONDON,40.755558,9513,33247,4037
MATELÂNDIA,46.09652,3836,11003,1236
PARANAVAÍ,44.21092,17327,56572,7684
SÃO JORGE D'OESTE,43.54226,1863,6318,888
QUITANDINHA,48.12278,4171,11533,1379
MIRASELVA,41.9055,335,1291,206
JARDIM ALEGRE,48.64278,2702,8289,1330
BITURUNA,53.698685,4596,10328,950
SANTA CECÍLIA DO PAVÃO,49.609215,825,2431,381
TELÊMACO BORBA,48.183342,17951,47147,4766
GENERAL CARNEIRO,57.18394,4149,8693,822
ITAMBÉ,42.11905,1208,4200,561
RIBEIRÃO DO PINHAL,52.174404,3207,8876,1424
BOA ESPERANÇA DO IGUAÇU,46.23196,689,1871,176
AGUDOS DO SUL,49.637814,2092,5522,649
PRIMEIRO DE MAIO,44.371834,2113,7498,1214
TUNEIRAS DO OESTE,46.832233,1970,5919,802
SENGÉS,51.747734,5186,12130,1091
MAUÁ DA SERRA,50.40493,2376,5680,487
LEÓPOLIS,43.31829,863,2881,385
INÁCIO MARTINS,57.871174,3341,6924,666
TAMARANA,53.04033,3352,8009,896
FÊNIX,45.512627,1001,3287,495
IRETAMA,52.536285,2593,6959,1063
SÃO JORGE DO IVAÍ,45.245644,1088,3786,625
JUSSARA,45.294636,1463,4548,597
LUNARDELLI,49.232105,1131,3451,568
ENGENHEIRO BELTRÃO,43.785572,3007,9663,1224
JACAREZINHO,45.04635,8906,26970,3243
VERÊ,43.119434,1620,5501,752
CRUZ MACHADO,52.802036,4899,11795,1329
ARAUCÁRIA,42.53219,30061,83572,5484
IBIPORÃ,43.58279,10624,33566,4005
FRANCISCO ALVES,51.490067,1425,4228,752
FLOR DA SERRA DO SUL,48.26608,1160,3172,371
ALTO PARANÁ,44.852474,3037,9422,1189
JAGUAPITÃ,44.15201,2629,8473,1112
JOAQUIM TÁVORA,45.131187,2327,7394,1010
ANTONINA,55.20842,4850,12163,1865
PIÊN,45.070423,2884,7739,604
BOM SUCESSO,47.731888,1523,4431,592
GOIOXIM,57.02012,2278,4772,443
GRANDES RIOS,47.999107,1534,4473,613
PINHAL DE SÃO BENTO,52.738926,705,1716,200
SÃO PEDRO DO PARANÁ,46.513,541,1692,246
PORTO RICO,45.025875,577,1739,206
CAMBARÁ,45.294155,5073,16437,2372
ALTO PIQUIRI,47.555492,2238,6893,1040
SÃO PEDRO DO IVAÍ,43.623497,2248,7065,834
JAPIRA,50.076996,1189,3247,437
SANTO ANTÔNIO DO PARAÍSO,47.871685,557,1621,219
SANTA TEREZA DO OESTE,46.432117,2607,7049,666
PAULO FRONTIN,44.46537,1541,4779,584
IVATUBA,36.455463,542,2178,252
PINHAIS,40.864655,27931,83062,6012
FORMOSA DO OESTE,43.25608,1297,5264,980
CORUMBATAÍ DO SUL,48.53105,886,2689,419
IVATÉ,44.818253,1660,5172,658
SANTA AMÉLIA,50.45617,899,2521,373
RIO BONITO DO IGUAÇU,55.035767,4050,8807,797
CAMPO MOURÃO,41.92577,19163,61430,6592
NOVA LONDRINA,46.03512,2973,8941,1143
SANTA CRUZ DE MONTE CASTELO,46.262444,1707,5525,849
CALIFÓRNIA,46.51036,1788,5502,771
NOVA FÁTIMA,47.705425,1861,5513,769
FRANCISCO BELTRÃO,40.98232,17527,55990,5419
SANTA TEREZINHA DE ITAIPU,43.836372,4951,14472,1393
ÂNGULO,44.720814,618,1970,263
KALORÉ,46.384365,803,3070,621
GUARACI,47.236324,1136,3546,539
LUIZIANA,48.4941,1840,4914,543
DIAMANTE DO SUL,56.75797,1021,2227,243
LARANJAL,59.50642,2025,3971,338
HONÓRIO SERPA,50.90262,1651,3933,351
SÃO JOÃO DO IVAÍ,45.998734,2345,7885,1282
MARUMBI,43.971188,936,3193,468
MERCEDES,47.007298,1098,3425,512
PARANACITY,48.167995,2520,6905,806
SÃO JORGE DO PATROCÍNIO,43.49893,1127,4207,703
PLANALTINA DO PARANÁ,47.767696,924,2755,392
ALVORADA DO SUL,44.740177,2200,7101,977
NOVA LARANJEIRAS,58.634823,3354,7076,795
CAFELÂNDIA,40.86714,3441,10402,810
NOVA SANTA ROSA,45.729607,1555,5222,833
TERRA BOA,44.262444,3266,10928,1571
RANCHO ALEGRE D'OESTE,45.056644,627,1942,248
TAPEJARA,45.076588,3383,10054,1149
JAPURÁ,42.506676,1649,5992,898
BARBOSA FERRAZ,50.09492,2752,8428,1470
ICARAÍMA,49.50831,1947,5898,973
ESPIGÃO ALTO DO IGUAÇU,58.77551,1288,2940,440
TURVO,51.0615,3741,9138,925
CIDADE GAÚCHA,46.233284,2634,7553,858
FLORAÍ,41.02492,821,3571,644
ORTIGUEIRA,53.4699,6247,15231,1897
SANTA MÔNICA,49.537037,898,2376,279
GUAIRAÇÁ,46.491226,1416,4218,545
FLORESTA,40.861496,1192,4202,525
SÃO JERÔNIMO DA SERRA,53.446175,2925,7385,1022
BARRACÃO,46.355423,2326,6640,752
CAMPINA GRANDE DO SUL,46.118755,10339,26525,1894
FOZ DO IGUAÇU,43.87613,65174,177992,12922
QUATRO PONTES,45.141544,738,2614,442
GUAMIRANGA,46.672863,1975,5380,536
BARRA DO JACARÉ,40.800415,492,1924,293
MATINHOS,48.05456,7264,19867,2283
JESUÍTAS,47.515987,1753,6099,1145
SÃO JOSÉ DAS PALMEIRAS,46.139145,860,2616,347
IGUATU,48.894844,503,1493,227
SERRANÓPOLIS DO IGUAÇU,45.861298,881,3129,554
PÉROLA D'OESTE,46.90901,1479,4594,676
CRUZEIRO DO SUL,42.969242,962,3186,407
SÃO SEBASTIÃO DA AMOREIRA,47.249744,1968,5854,798
FLÓRIDA,45.91954,545,1740,254
NOVA SANTA BÁRBARA,52.260326,898,2566,443
UNIÃO DA VITÓRIA,48.261993,13054,35558,4107
OURO VERDE DO OESTE,45.853657,1286,3895,500
CAPANEMA,44.58499,3924,12807,1786
CAMPINA DA LAGOA,49.427296,3620,10302,1472
UBIRATÃ,44.6413,4489,14901,2163
MARIPÁ,43.438686,1085,3955,633
QUARTO CENTENÁRIO,44.444443,1047,3357,445
ATALAIA,42.051655,748,2749,408
LINDOESTE,49.426895,1279,3577,489
PRUDENTÓPOLIS,48.59571,12103,32828,3850
BOA ESPERANÇA,42.382446,902,3190,450
MORRETES,51.190132,3962,10377,1350
ROLÂNDIA,41.80788,12249,40777,4799
GUAPOREMA,44.773174,472,1521,209
BALSA NOVA,42.474747,2645,7920,719
TOMAZINA,45.07695,1845,6043,879
GUARAPUAVA,46.309364,42544,114357,10414
ESPERANÇA NOVA,47.803032,382,1320,249
VENTANIA,50.00754,2710,6631,606
BELA VISTA DA CAROBA,51.519814,964,2599,375
PORECATU,43.628445,2940,9872,1367
ROSÁRIO DO IVAÍ,52.00546,1297,3665,609
AMAPORÃ,48.578457,1414,3658,363
SÃO CARLOS DO IVAÍ,45.06173,1413,4374,558
BANDEIRANTES,44.994144,7051,22194,2935
QUATRO BARRAS,43.485176,4950,13830,1064
QUERÊNCIA DO NORTE,48.017677,2843,7920,960
RESERVA DO IGUAÇU,57.186016,2350,4634,300
IMBAÚ,55.79209,3223,7234,813
DOUTOR ULYSSES,58.21102,1725,3611,377
ITAPERUÇU,51.210087,7089,15784,994
JUNDIAÍ DO SUL,50.881836,814,2268,340
NOVA ESPERANÇA,45.032967,5651,18351,2613
RIBEIRÃO CLARO,46.8621,2254,7266,1151
SÃO JOSÉ DA BOA VISTA,50.35805,1547,4329,633
MOREIRA SALES,50.62201,2781,8360,1451
MARILUZ,52.751198,2561,6688,967
COLORADO,40.42232,4350,15912,2082
PALMITAL,55.958004,4211,9525,1119
MAMBORÊ,44.90029,3165,9628,1158
ALMIRANTE TAMANDARÉ,47.065697,28522,70170,4504
FIGUEIRA,50.099583,1937,5523,830
BOA VENTURA DE SÃO ROQUE,49.599083,1791,4365,374
JATAIZINHO,49.062775,2971,7949,929
NOVA ALIANÇA DO IVAÍ,40.584087,328,993,75
SÃO JOSÉ DOS PINHAIS,42.419506,66506,185509,12186
GUAPIRAMA,45.36275,892,2674,321
SULINA,49.88884,742,2249,380
SANTA INÊS,40.644653,380,1272,137
PALMAS,55.17029,13088,27629,2155
SANTA HELENA,43.41299,5056,16320,2029
CASCAVEL,39.97545,65047,204468,16690
TERRA RICA,47.344963,3425,10320,1461
CORNÉLIO PROCÓPIO,41.571373,9154,33143,4624
MARILÂNDIA DO SUL,47.879093,2051,5988,816
ITAÚNA DO SUL,54.92408,870,2305,396
XAMBRÊ,50.57673,1252,3988,765
ARIRANHA DO IVAÍ,46.598434,511,1661,263
BOM SUCESSO DO SUL,42.22607,664,2309,311
QUINTA DO SOL,47.017952,1133,3454,491
MISSAL,44.077133,2138,7260,1062
PONTAL DO PARANÁ,47.247253,4998,14204,1713
ARARUNA,43.572727,2880,9343,1191
BELA VISTA DO PARAÍSO,46.623856,3112,10278,1680
TERRA ROXA,45.56357,3554,11507,1689
TAPIRA,49.474495,1203,3901,727
MANDIRITUBA,50.243706,5898,14772,1524
FAZENDA RIO GRANDE,47.475533,23207,55378,3084
ITAMBARACÁ,48.821327,1514,4539,702
CÉU AZUL,43.931087,2378,7662,988
IRACEMA DO OESTE,46.84633,527,1744,290
REALEZA,44.355053,3524,11311,1493
ITAPEJARA D'OESTE,45.635635,2311,7229,988
QUATIGUÁ,41.440353,1362,4971,698
RENASCENÇA,47.559124,1675,4609,517
PORTO BARREIRO,45.745106,912,2503,233
MARIA HELENA,44.981686,1207,4095,635
SANTO ANTÔNIO DO SUDOESTE,53.395615,4952,12310,1621
MUNHOZ DE MELO,46.655987,749,2497,416
CIANORTE,40.15106,14483,49914,5558
MIRADOR,47.415443,539,1567,204
NOSSA SENHORA DAS GRAÇAS,42.52788,796,2690,348
PARANAGUÁ,47.99979,37300,94890,8247
CORBÉLIA,44.622894,3635,11270,1394
PALOTINA,41.64814,6095,20241,2335
CAMPO BONITO,50.034084,1127,2934,341
MARQUINHO,53.791397,1403,3231,335
PARANAPOEMA,43.6627,666,1933,178
RESERVA,56.282997,7305,16099,1756
ASSAÍ,47.779686,3557,11057,1726
CARLÓPOLIS,47.017166,3135,9320,1247
TRÊS BARRAS DO PARANÁ,51.493015,3060,7803,958
SABÁUDIA,41.14644,1261,4309,512
PLANALTO,43.73749,2765,9493,1387
